@RELATION posicoes

@ATTRIBUTE faltasofrida	REAL
@ATTRIBUTE passeerrado	REAL
@ATTRIBUTE assistencia	REAL
@ATTRIBUTE finalizaçãonatrave	REAL
@ATTRIBUTE finalizaçãodefendida	REAL
@ATTRIBUTE finalizaçãoprafora	REAL
@ATTRIBUTE Gol	REAL
@ATTRIBUTE impedimento	REAL
@ATTRIBUTE penaltyperdido	REAL
@ATTRIBUTE roubadadebola	REAL
@ATTRIBUTE faltacometida	REAL
@ATTRIBUTE golcontra	REAL
@ATTRIBUTE cartãoamarelo	REAL
@ATTRIBUTE cartãovermelho	REAL
@ATTRIBUTE posicao	{ATA,LAT,MEI,ZAG}

@DATA
3,10,0,0,0,1,0,0,0,6,4,0,1,0,LAT
0,2,0,0,0,1,0,1,0,1,1,0,0,0,MEI
0,4,0,0,1,3,0,0,0,1,2,0,0,0,ATA
0,2,0,0,0,0,0,1,0,0,0,0,0,0,MEI
20,30,0,0,1,3,1,0,0,4,7,0,2,0,ATA
47,87,3,0,12,8,0,0,0,15,23,0,5,1,MEI
13,28,0,0,0,3,0,1,0,12,24,1,3,0,LAT
11,17,1,0,3,9,1,1,0,6,5,0,3,0,ATA
5,30,1,0,0,0,0,1,0,9,10,0,2,0,LAT
4,3,0,0,0,0,0,0,0,0,1,0,0,0,ATA
11,4,0,0,2,1,0,3,0,2,5,0,0,0,ATA
3,3,0,0,0,0,0,0,0,1,4,0,0,0,ZAG
10,10,0,0,2,2,0,4,0,1,3,0,0,0,ATA
11,12,1,0,6,6,2,10,0,5,7,0,3,0,ATA
10,22,0,1,4,8,5,4,0,6,8,0,2,0,ATA
0,2,0,0,0,0,0,0,0,4,7,0,2,0,MEI
10,50,1,1,1,2,2,1,0,18,26,1,7,1,ZAG
26,31,1,0,2,9,0,1,0,20,22,0,5,0,MEI
7,15,0,0,1,1,0,1,0,6,5,0,1,0,ZAG
1,7,0,0,0,1,0,0,0,11,9,0,3,0,MEI
0,4,1,0,0,0,0,0,0,5,2,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,3,0,0,0,ATA
9,17,0,0,2,2,1,0,0,11,15,0,3,0,MEI
5,34,0,0,0,0,0,0,0,15,9,0,1,0,LAT
0,15,0,0,2,0,0,0,0,4,7,0,1,0,ATA
8,10,0,0,2,4,0,1,0,4,3,0,1,0,MEI
21,74,1,1,10,7,0,1,0,38,44,0,12,1,MEI
12,12,0,0,0,1,0,0,0,12,15,0,1,0,MEI
7,15,0,0,4,5,1,3,0,7,18,0,1,0,ATA
4,19,0,0,1,1,0,0,0,7,7,0,1,0,LAT
28,82,0,0,5,6,1,0,0,42,51,0,9,0,MEI
7,3,0,0,0,0,0,0,0,0,1,0,1,0,ATA
0,5,0,0,0,0,0,0,0,2,3,0,1,0,LAT
7,53,3,0,3,3,0,1,0,15,31,0,7,0,LAT
3,2,0,0,1,0,0,0,0,3,2,0,1,0,ZAG
0,1,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,2,0,0,0,0,0,0,0,2,0,0,0,0,MEI
15,39,0,0,2,3,0,1,0,28,20,0,4,0,MEI
4,26,0,0,1,1,0,0,0,11,12,0,3,0,LAT
0,1,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,1,0,0,0,1,0,0,0,0,2,0,0,0,ZAG
2,9,0,0,0,1,0,0,0,8,8,0,3,0,ZAG
1,2,0,0,0,1,0,0,0,1,1,0,1,0,LAT
2,14,0,1,1,2,1,0,0,3,5,0,2,0,ZAG
5,4,0,0,0,0,0,1,0,3,2,0,0,0,MEI
7,22,0,1,1,2,0,2,0,8,8,0,2,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
30,31,0,1,2,7,1,0,0,7,16,0,6,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
2,1,0,0,0,0,0,0,0,1,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,2,0,0,0,0,0,0,0,0,0,0,0,0,ATA
4,23,0,0,2,3,0,1,0,16,18,0,3,0,ZAG
1,9,0,0,0,0,0,1,0,1,9,0,1,0,ZAG
2,2,0,0,0,0,0,0,0,2,2,0,0,0,MEI
0,3,0,0,0,0,0,0,0,2,2,0,0,0,ZAG
7,6,0,0,2,2,0,0,0,5,4,0,0,0,MEI
3,5,0,0,0,0,0,1,0,3,4,0,0,0,MEI
0,0,0,0,0,0,0,1,0,0,0,0,0,0,ATA
13,58,1,1,1,7,0,1,0,41,32,0,6,1,MEI
5,16,0,0,3,5,0,0,0,5,4,0,1,0,MEI
11,36,0,0,1,1,0,0,0,11,19,0,5,0,LAT
9,20,0,0,3,1,0,0,0,2,7,0,0,0,MEI
3,6,0,0,2,2,0,2,0,2,1,0,0,0,MEI
26,33,1,0,4,6,0,5,0,7,17,0,3,0,ATA
15,40,1,0,0,1,0,0,0,12,15,0,2,0,LAT
1,1,0,0,0,0,0,0,0,0,0,0,0,0,ATA
9,10,0,0,0,1,0,0,0,3,6,0,2,0,MEI
11,18,1,0,6,2,1,5,0,5,10,0,0,0,ATA
8,16,0,0,1,2,0,0,0,6,12,0,1,1,MEI
5,8,0,0,1,2,0,0,0,3,5,0,1,0,LAT
11,9,0,0,1,3,0,1,0,3,5,0,2,0,MEI
3,8,1,0,3,0,0,1,0,1,6,0,2,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
41,54,1,1,5,4,0,3,0,14,21,0,3,1,MEI
5,22,0,0,1,3,0,0,0,13,6,0,3,0,ZAG
4,11,0,0,0,0,0,0,0,8,6,0,2,0,MEI
1,22,0,0,1,2,0,0,0,8,5,0,2,0,ZAG
1,1,0,0,0,0,0,0,0,1,4,0,1,0,ZAG
2,39,0,0,1,1,0,1,0,16,15,0,3,0,LAT
14,30,0,1,4,4,0,0,0,14,20,0,3,1,ZAG
9,47,1,0,0,1,0,0,0,12,21,0,6,2,ZAG
7,13,1,0,0,1,0,0,0,5,4,0,0,1,MEI
0,9,0,0,0,0,0,0,0,3,4,0,1,0,ZAG
4,2,0,0,0,0,0,0,0,0,3,0,0,0,MEI
25,29,3,0,3,6,0,1,0,4,15,0,3,0,MEI
1,3,0,0,0,0,0,0,0,3,4,0,1,0,MEI
4,9,0,0,0,1,0,1,0,6,5,0,1,0,ZAG
0,2,0,0,0,2,0,2,0,0,1,0,0,0,MEI
3,6,0,0,0,0,0,0,0,0,1,0,0,0,ZAG
4,8,0,0,0,0,0,0,0,4,4,0,3,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
3,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,1,3,0,0,0,MEI
6,9,0,0,0,3,0,0,0,6,9,0,3,0,MEI
1,2,0,0,0,1,0,0,0,0,1,0,0,0,MEI
2,4,0,0,0,0,0,0,0,0,1,0,0,0,LAT
1,6,0,0,0,0,0,0,0,2,4,0,0,0,MEI
0,0,0,0,0,1,0,0,0,0,0,0,0,0,ZAG
4,4,0,0,0,1,0,1,0,2,6,0,0,0,LAT
0,1,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,2,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,7,0,0,0,0,0,0,0,4,4,0,1,0,ZAG
1,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
18,43,0,0,5,5,0,4,0,6,17,1,7,0,ZAG
1,4,0,0,2,2,0,0,1,2,4,0,0,0,MEI
18,18,1,0,0,0,0,0,0,9,23,0,2,1,LAT
0,0,0,0,2,1,0,0,0,0,0,0,0,0,ATA
18,15,0,0,3,2,1,2,0,6,19,0,3,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,6,0,0,0,0,0,0,0,2,2,0,0,0,MEI
1,15,0,0,0,0,0,0,0,3,3,0,0,0,LAT
9,11,0,0,0,0,0,3,0,2,2,0,1,0,ATA
4,4,0,0,1,2,0,0,0,0,3,0,1,0,MEI
4,15,0,0,1,1,0,1,0,4,5,0,1,0,LAT
2,1,0,0,0,0,0,0,0,0,1,0,1,0,ATA
6,24,0,0,1,0,0,0,0,6,10,0,4,0,LAT
2,11,0,0,0,0,0,0,0,2,5,0,0,0,MEI
1,13,0,0,1,0,0,0,0,5,6,0,1,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZAG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
1,0,0,0,0,0,0,0,0,0,0,0,0,0,ATA
2,2,0,0,0,0,0,0,0,1,0,0,0,0,MEI
0,7,0,0,0,0,0,1,0,3,6,0,2,0,MEI
1,1,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,3,0,0,0,0,0,0,0,0,2,0,1,0,MEI
0,1,0,0,0,2,0,0,0,0,1,0,0,0,MEI
1,4,0,0,0,0,0,0,0,0,3,0,1,0,MEI
6,17,0,0,0,1,0,0,0,2,15,0,5,0,MEI
1,0,0,0,0,1,0,1,0,1,1,0,1,0,ATA
2,5,0,0,0,0,0,0,0,2,3,0,3,0,MEI
1,3,0,0,1,0,0,0,0,0,3,0,0,0,ATA
0,0,0,0,0,0,0,0,0,0,1,0,0,0,ATA
1,1,0,0,0,0,0,0,0,0,3,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEI
0,0,0,0,0,0,0,0,0,0,1,0,0,0,MEI
0,2,0,0,0,0,0,0,0,0,0,0,0,0,MEI
16,27,2,0,3,5,0,1,0,4,16,0,2,0,MEI
30,55,3,0,2,10,1,3,0,71,61,0,4,0,MEI
12,40,0,0,0,5,0,0,0,28,32,0,7,0,MEI
58,104,4,1,15,20,9,2,0,18,21,0,2,0,ATA
23,62,2,0,5,9,1,2,0,23,22,0,4,0,MEI
11,53,0,1,0,2,2,0,0,20,18,0,5,0,ZAG
9,11,0,1,6,12,9,6,0,5,19,0,1,0,ATA
50,71,1,0,3,7,0,0,0,48,25,0,4,0,MEI
3,14,1,2,7,7,4,2,0,8,4,0,0,0,ATA
54,32,0,0,10,5,1,5,1,8,28,0,3,0,ATA
8,39,0,0,3,5,0,2,0,13,43,0,5,1,ZAG
17,34,0,0,1,2,0,0,0,23,13,0,2,0,MEI
28,60,2,1,14,17,5,20,0,11,22,0,3,1,ATA
38,66,0,1,3,17,2,2,0,59,44,0,9,0,MEI
19,56,0,1,7,10,1,2,0,34,47,0,3,0,MEI
35,52,1,0,2,2,1,0,0,54,35,0,4,0,MEI
11,22,1,0,2,8,3,5,0,7,14,0,3,1,ATA
5,11,0,0,1,0,0,0,0,6,7,0,0,0,MEI
3,20,1,0,0,1,0,0,0,4,7,0,0,0,LAT
2,7,0,1,0,2,0,0,0,5,7,0,1,0,MEI
43,98,2,0,3,5,0,6,0,42,57,0,11,0,LAT
26,83,1,1,4,13,0,0,0,70,43,0,9,0,MEI
5,21,0,0,0,2,2,1,0,6,10,0,2,1,ZAG
9,21,0,0,4,6,2,2,0,15,11,0,2,0,ZAG
30,87,6,0,2,6,4,0,0,29,18,0,4,0,MEI
25,61,0,0,2,10,1,0,0,49,31,0,2,0,MEI
28,33,0,2,18,12,3,14,0,9,31,0,4,3,ATA
26,38,3,0,12,8,3,13,0,5,23,0,3,0,ATA
5,7,0,0,1,3,1,5,0,1,6,0,1,0,ATA
1,9,2,0,2,1,0,0,0,1,8,0,1,0,MEI
50,78,2,1,11,10,1,4,0,20,17,0,3,0,MEI
5,38,2,0,9,9,6,11,0,3,14,0,2,0,ATA
14,20,0,0,0,1,0,0,0,30,34,0,6,0,MEI
37,119,2,0,12,13,5,2,0,33,38,0,3,0,MEI
8,7,0,0,1,5,0,0,0,1,6,0,2,0,MEI
91,180,6,1,7,4,4,2,0,40,48,0,5,0,MEI
48,77,6,2,7,16,13,25,0,19,23,0,4,0,ATA
20,49,2,1,3,7,1,2,0,6,14,0,4,0,ATA
29,57,1,0,16,12,4,3,0,10,11,0,3,0,MEI
4,9,1,0,1,2,4,2,1,0,5,0,2,0,ATA
15,64,0,0,5,7,2,2,0,33,28,0,8,0,ZAG
58,55,1,0,11,9,5,6,0,10,38,0,11,1,ATA
22,80,2,0,1,4,0,3,0,51,29,0,4,1,LAT
18,65,4,0,1,3,0,0,0,36,20,0,3,0,LAT
40,56,1,1,7,8,3,3,0,18,28,0,5,0,MEI
11,88,2,0,1,3,1,0,0,25,33,0,4,0,MEI
34,18,0,0,3,5,3,11,0,5,22,0,3,0,ATA
5,17,0,0,2,2,1,0,0,12,14,0,2,0,MEI
22,87,4,1,6,12,2,6,0,24,25,0,5,0,ATA
42,28,2,1,11,11,1,2,0,10,19,0,3,0,MEI
4,8,0,0,0,0,0,0,0,4,8,0,1,0,LAT
33,35,0,1,9,22,4,13,0,12,33,0,5,0,ATA
2,1,0,0,0,0,0,0,0,0,1,0,1,0,MEI
2,6,0,0,0,0,0,2,0,3,8,0,0,0,MEI
31,75,3,0,5,6,0,4,0,28,38,0,3,2,LAT
32,119,1,0,5,11,0,1,0,79,62,0,11,1,MEI
1,3,0,0,0,0,0,0,0,0,1,0,1,0,MEI
4,22,0,0,1,0,0,2,0,7,16,1,1,0,ZAG
1,6,0,0,0,1,0,0,0,4,5,0,0,0,MEI
31,58,1,0,10,9,5,5,0,15,8,0,2,0,MEI
32,39,1,1,16,18,12,12,0,12,35,0,4,1,ATA
44,100,5,0,10,18,7,1,1,21,26,0,5,0,MEI
1,4,0,0,0,0,0,0,0,1,3,0,1,0,MEI
18,7,1,0,4,5,1,3,0,3,10,0,1,1,ATA
17,40,1,0,1,5,0,2,0,14,16,0,2,0,MEI
25,40,0,0,1,3,0,1,0,12,12,0,4,1,LAT
4,23,0,0,3,1,0,0,0,3,9,0,2,0,MEI
34,31,1,0,3,4,0,5,0,6,10,0,2,3,ATA
18,24,0,0,4,2,1,2,0,16,34,0,8,0,LAT

																																									
